ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,1,0,22,0,5,1.0,2,4.0,3,4
466315,0,1,67,1,2,1.0,2,1.0,5,2
461735,1,1,67,1,7,0.0,1,2.0,5,2
461319,1,1,56,0,0,0.0,0,2.0,5,3
460156,1,0,32,1,5,1.0,2,3.0,5,3
464347,0,0,33,1,5,1.0,2,3.0,5,4
465015,0,1,61,1,2,0.0,2,3.0,6,4
465176,0,1,55,1,0,1.0,0,4.0,5,3
464041,0,0,26,1,2,1.0,2,3.0,5,1
464942,1,0,19,0,5,4.0,2,4.0,3,4
460849,0,1,58,0,1,0.0,2,1.0,2,2
460563,0,0,41,0,5,1.0,2,2.0,0,3
466865,0,0,32,0,6,9.0,2,5.0,2,4
461644,1,0,31,0,5,1.0,2,6.0,5,2
466772,1,1,58,1,3,1.0,0,4.0,5,2
464291,0,1,79,1,0,0.0,1,1.0,5,3
466084,1,1,49,1,6,12.0,2,1.0,2,1
459675,0,0,18,0,5,3.0,2,4.0,5,4
465602,1,1,33,1,0,13.0,2,2.0,2,1
459168,0,0,36,1,0,5.0,2,2.0,5,2
465083,1,1,56,0,0,1.0,0,3.0,5,3
467604,1,0,31,0,5,9.0,2,8.0,3,1
459717,1,1,49,1,0,1.0,0,3.0,5,3
465882,1,0,35,1,0,0.0,2,1.0,5,2
461996,0,0,35,0,0,5.0,2,4.0,5,3
463331,0,1,45,1,0,0.0,2,3.0,5,3
462216,0,1,42,0,1,1.0,2,2.0,3,1
462454,1,0,19,0,5,1.0,2,3.0,1,4
459861,0,1,83,0,7,1.0,1,2.0,5,4
467917,0,0,27,1,5,3.0,2,4.0,0,4
465572,1,0,32,0,1,5.0,2,1.0,3,4
460593,0,1,28,0,5,1.0,0,5.0,2,4
465891,0,1,28,1,0,8.0,2,2.0,5,1
462044,0,0,47,1,0,4.0,2,1.0,5,2
465686,0,0,22,0,5,0.0,2,2.0,5,4
464590,0,0,27,1,0,14.0,2,3.0,5,1
466152,1,1,40,0,2,8.0,2,1.0,5,1
465729,1,1,41,1,0,0.0,0,4.0,3,2
462442,1,0,19,0,5,0.0,2,4.0,5,4
464191,0,0,45,1,2,1.0,2,1.0,5,1
462078,0,1,61,0,0,1.0,0,2.0,1,2
467873,0,1,36,1,0,1.0,0,2.0,5,3
461270,1,1,40,1,0,1.0,2,1.0,2,1
462960,0,1,57,1,3,0.0,0,2.0,5,3
464961,1,1,76,0,8,1.0,2,1.0,3,1
462110,1,1,32,1,0,14.0,0,2.0,5,2
465769,1,0,25,1,5,9.0,2,4.0,5,4
465269,0,1,45,1,0,1.0,0,3.0,2,3
461891,1,1,48,1,0,0.0,0,2.0,5,3
466935,1,1,55,1,0,9.0,0,2.0,0,3
464091,1,1,74,1,7,0.0,1,3.0,5,4
464535,1,1,56,1,7,1.0,1,2.0,5,1
463108,1,1,59,1,7,7.0,1,2.0,5,1
461356,1,0,25,1,3,0.0,2,2.0,5,1
464570,1,1,31,1,1,0.0,0,2.0,5,1
464580,1,0,27,0,0,8.0,2,4.0,5,1
465233,1,1,57,1,0,0.0,0,4.0,5,2
459954,1,1,27,1,5,8.0,2,2.0,5,4
460219,0,1,51,1,3,8.0,0,2.0,5,1
460877,0,1,47,0,0,0.0,0,5.0,5,2
460191,0,0,33,0,5,8.0,2,4.0,5,4
463742,1,1,56,1,0,0.0,0,4.0,5,3
463691,0,0,33,0,6,0.0,2,3.0,5,2
463250,0,0,36,1,1,0.0,2,2.0,5,4
463952,1,1,51,0,0,4.0,2,3.0,3,1
461558,1,1,45,1,2,2.0,0,2.0,5,3
465379,1,0,30,0,5,0.0,2,4.0,5,3
463814,0,0,26,0,5,6.0,2,3.0,4,4
466938,1,1,63,1,0,8.0,2,1.0,5,1
460671,1,1,35,0,3,8.0,0,4.0,2,2
462204,0,0,19,0,8,1.0,2,3.0,3,1
461671,1,0,32,0,5,7.0,2,5.0,5,4
459384,1,1,52,1,0,0.0,0,3.0,5,3
459905,0,1,36,1,0,5.0,2,2.0,5,3
464734,0,0,42,0,3,7.0,2,3.0,3,4
464125,1,1,40,0,1,0.0,0,2.0,2,4
